aX,aY,aZ,gX,gY,gZ
0.590,-1.248,0.785,-9.460,-2.441,-37.048
0.690,-1.599,-0.081,42.786,-64.514,-46.692
0.332,-1.234,-0.722,55.664,-63.293,-78.918
-0.206,-0.269,-0.734,26.733,-2.808,-111.511
-0.306,0.489,-0.554,-6.897,65.430,-117.493
-0.225,0.717,-0.074,-37.354,108.521,-106.812
0.010,0.153,0.637,-55.420,113.098,-90.759
0.301,-0.907,0.710,-44.739,77.942,-75.134
0.435,-1.386,-0.188,-29.419,27.161,-91.492
0.860,-1.134,-0.985,-35.095,41.809,-141.724
1.361,-0.418,-0.505,-45.593,129.517,-189.697
2.271,-0.415,0.314,-28.625,189.941,-204.529
3.182,-1.739,1.574,-4.700,182.251,-213.257
3.311,-1.637,1.284,3.479,95.093,-258.118
2.469,-2.442,0.274,17.639,5.188,-275.146
1.921,-2.024,-0.921,-30.334,-5.066,-329.163
1.557,-1.755,-1.177,-50.720,55.237,-358.582
1.399,-1.896,-1.012,-61.829,123.352,-353.149
1.208,-2.032,-0.427,-80.627,170.288,-340.820
1.003,-2.360,0.346,-55.603,179.077,-313.232
0.579,-2.347,0.719,-24.353,144.775,-295.837
0.193,-2.263,0.654,-5.737,97.229,-283.630
-0.060,-2.052,0.510,-12.878,65.369,-282.776
-0.237,-1.815,0.118,-33.142,44.495,-285.645
-0.234,-1.680,-0.124,-53.833,31.494,-279.175
-0.226,-1.544,-0.357,-66.833,18.921,-269.531
-0.151,-1.390,-0.485,-64.148,10.803,-259.399
0.041,-1.319,-0.608,-46.265,15.015,-242.981
0.274,-1.246,-0.518,-25.635,32.471,-224.365
0.461,-1.131,-0.321,-10.193,54.199,-209.167
0.604,-1.066,-0.081,1.953,70.618,-194.092
0.788,-0.920,0.230,7.568,72.632,-182.800
0.795,-0.802,0.376,9.094,51.636,-169.495
0.617,-0.757,0.336,15.381,11.292,-148.499
0.359,-0.900,0.133,17.883,-35.889,-121.216
-0.027,-1.118,-0.165,9.644,-78.308,-98.389
-0.429,-1.415,-0.527,5.615,-101.318,-80.994
-0.681,-1.757,-0.822,33.386,-95.032,-65.857
-0.755,-1.988,-0.892,93.872,-63.354,-58.716
