aX,aY,aZ,gX,gY,gZ
1.658,2.875,-1.331,44.250,75.134,32.410
2.468,3.666,-0.069,80.750,128.113,52.734
3.382,3.332,1.300,111.267,118.896,69.031
2.240,1.439,0.830,118.774,39.429,79.712
1.298,0.016,0.041,156.006,-14.099,63.171
1.314,-1.132,-0.094,189.819,-5.005,70.862
1.494,-1.714,-0.059,164.978,1.282,96.313
1.451,-1.863,-0.042,87.952,-20.264,125.305
1.308,-1.625,0.049,-1.709,-47.302,157.349
1.194,-1.070,0.091,-68.054,-60.547,178.406
1.150,-0.458,-0.165,-102.661,-59.631,184.204
1.091,-0.041,-0.522,-121.765,-57.007,168.396
1.130,0.425,-0.704,-141.174,-55.237,125.977
1.205,0.816,-0.740,-153.687,-47.791,77.820
1.111,0.805,-0.561,-140.564,-31.372,46.509
0.709,0.907,-0.411,-108.093,-18.494,21.729
0.295,1.046,-0.262,-60.303,-3.540,2.686
0.155,1.213,-0.215,-9.094,16.724,-13.184
0.236,1.306,-0.225,39.185,34.302,-19.226
0.404,1.192,-0.292,86.487,46.448,-10.315
0.605,0.934,-0.309,122.559,51.453,4.517
0.637,0.798,-0.384,142.883,45.288,14.893
0.638,0.328,-0.205,150.940,44.739,25.024
0.757,0.311,-0.009,142.151,43.579,14.099
0.804,0.539,-0.129,131.104,35.217,10.864
0.943,0.182,0.063,129.150,33.325,27.161
0.884,-0.160,-0.064,101.624,22.278,13.794
0.699,-0.002,-0.368,60.974,23.682,-11.353
0.907,-0.070,0.038,43.701,40.955,-5.371
1.068,0.007,0.179,20.630,28.809,-0.488
1.141,0.454,-0.096,-6.226,8.057,4.700
1.219,0.675,-0.203,-9.277,0.000,28.931
1.151,0.626,-0.204,-10.620,-4.333,44.067
0.980,0.580,-0.036,-28.320,-3.235,34.363
0.776,0.558,0.061,-42.114,1.831,29.175
0.689,0.636,0.131,-42.053,5.371,36.438
0.658,0.605,0.101,-31.372,0.061,48.157
0.486,0.639,-0.104,-20.996,-7.324,48.157
0.677,0.549,-0.127,-10.132,-2.747,38.635
0.761,0.808,-0.330,-3.418,-4.517,26.672
0.614,0.626,-0.384,22.461,4.089,31.372
0.670,0.855,-0.193,44.250,20.081,35.278
0.606,0.298,-0.047,58.167,29.175,49.072
0.675,0.427,0.205,58.044,40.100,36.377
0.687,0.410,0.330,53.040,34.241,31.860
0.706,0.642,0.253,40.710,20.447,32.104
0.837,0.690,0.063,30.884,3.845,38.452
0.802,0.727,-0.068,31.494,-5.920,48.401
0.817,0.754,-0.163,34.058,-11.414,54.138
0.800,0.751,-0.189,41.199,-16.907,63.660
0.893,0.541,-0.127,47.607,-16.724,69.702
0.992,0.401,-0.084,44.128,-15.564,66.101
0.841,0.413,-0.055,36.926,-11.902,53.772
0.977,0.544,0.136,33.142,-5.432,47.668
0.611,0.348,-0.103,25.208,-14.648,52.124
0.588,0.689,-0.126,24.109,-0.916,42.419
0.666,0.588,-0.078,32.410,18.188,45.593
0.997,0.357,0.139,28.931,24.719,41.016
0.986,0.489,0.018,8.911,10.559,23.132
0.929,0.564,0.112,3.052,0.122,21.423
0.882,0.763,0.101,3.235,-15.198,36.011
0.737,0.777,0.023,5.188,-28.259,57.373
0.719,0.647,0.033,2.136,-25.269,59.937
0.716,0.703,-0.122,-3.357,-15.503,48.828
