aX,aY,aZ,gX,gY,gZ
0.643,-1.074,0.524,-206.482,-6.897,51.147
0.625,-0.803,0.804,-189.575,10.315,33.569
0.607,-0.536,0.748,-169.617,-5.310,21.240
0.511,-0.301,0.440,-153.259,-41.748,6.958
0.374,-0.070,0.096,-133.911,-74.219,-10.742
0.254,0.124,-0.102,-114.563,-87.463,-27.405
0.148,0.302,-0.227,-99.915,-81.482,-38.757
0.107,0.405,-0.219,-88.806,-58.899,-42.786
0.141,0.381,-0.150,-75.134,-29.907,-38.696
0.260,0.294,-0.045,-61.707,-5.005,-34.607
0.373,0.226,0.065,-55.725,9.460,-34.607
0.426,0.182,0.153,-62.073,10.437,-38.208
0.430,0.214,0.199,-79.163,-1.831,-44.128
0.425,0.373,0.156,-100.037,-21.484,-55.847
0.441,0.611,0.010,-118.774,-40.283,-70.129
0.468,0.847,-0.166,-136.169,-48.523,-82.336
0.530,1.018,-0.308,-151.978,-41.077,-87.952
0.648,1.076,-0.391,-156.555,-18.921,-85.449
0.799,1.035,-0.390,-144.592,11.963,-76.355
0.949,0.928,-0.314,-119.934,40.039,-62.622
1.005,0.706,-0.189,-94.299,58.289,-47.546
0.973,0.442,-0.131,-82.214,67.871,-38.879
1.016,0.215,-0.172,-96.558,73.853,-34.851
1.151,0.111,-0.113,-125.854,86.548,-33.752
1.235,0.043,0.185,-132.446,109.375,-34.912
1.111,-0.136,0.708,-93.445,131.531,-32.837
0.809,-0.278,1.149,-36.072,134.583,-35.583
0.598,-0.405,1.109,5.127,110.229,-44.678
0.456,-0.380,0.655,7.019,61.829,-55.115
0.307,-0.285,0.225,-33.569,4.700,-61.279
0.227,-0.298,-0.115,-72.998,-44.067,-57.129
0.117,-0.427,-0.475,-93.018,-75.928,-45.227
-0.063,-0.437,-0.682,-92.712,-79.712,-35.706
-0.056,-0.313,-0.251,-62.500,-44.983,-33.691
0.157,-0.145,0.409,-39.490,0.488,-40.466
0.180,0.001,0.374,-69.153,26.245,-52.917
0.004,0.171,-0.076,-100.525,34.546,-59.692
-0.405,0.592,-0.217,-91.980,34.729,-46.021
-0.917,1.151,-0.214,-72.998,16.907,-21.301
-1.205,1.429,-0.605,-65.552,-6.897,8.301
-0.916,1.040,-1.225,-55.176,-12.817,43.152
-0.168,0.380,-1.479,-4.761,23.010,56.763
0.474,0.040,-1.038,61.279,88.745,30.212
0.729,0.084,-0.445,79.346,122.253,-14.526
0.518,0.448,-0.102,37.415,100.769,-38.879
-0.164,1.766,-0.325,-18.860,43.884,-12.207
-0.411,2.701,-0.953,0.427,-16.541,56.519
-0.465,2.650,-2.383,62.866,-74.524,92.957
0.603,2.040,-3.522,70.557,-63.477,90.698
1.534,1.294,-3.063,49.988,36.499,86.487
3.997,0.385,-0.849,100.708,179.016,48.523
4.000,-0.186,0.469,235.596,246.643,-49.194
4.000,1.372,-0.710,350.525,161.743,-113.403
4.000,4.000,-3.067,534.058,85.205,-65.674
4.000,3.468,4.000,480.164,191.650,166.138
1.331,-3.749,3.525,-25.208,-64.453,343.811
-1.035,-2.394,-1.217,63.110,-314.087,336.548
-1.386,-1.253,-3.056,61.340,-216.553,306.335
-1.597,1.738,-3.337,39.490,-47.791,247.620
0.432,3.584,-0.762,77.454,147.583,224.915
3.852,2.492,0.206,15.808,209.595,222.595
2.403,0.723,0.122,-115.723,73.425,146.484
-0.564,-0.437,-0.429,-168.579,-64.331,80.078
-0.952,-0.444,-0.025,-149.536,15.442,47.913
0.287,0.721,0.592,-67.078,124.451,30.823
0.983,1.733,0.855,-2.075,130.127,43.884
0.735,1.946,0.125,2.808,74.219,71.472
0.361,1.746,-0.435,9.949,33.630,93.201
0.462,1.226,-0.551,58.411,32.288,107.117
0.738,0.255,-0.757,89.172,25.818,112.915
0.719,-0.439,-0.991,55.542,5.432,97.412
0.816,-0.482,-0.703,1.831,18.616,68.542
1.103,0.081,0.043,-15.991,66.467,52.673
0.928,1.133,0.430,-25.696,84.656,50.476
0.751,1.927,0.351,-28.198,71.106,56.458
0.724,1.959,0.085,7.996,50.476,66.528
0.550,1.386,-0.327,57.617,23.254,80.566
0.436,0.583,-0.645,77.087,0.244,86.243
0.374,-0.125,-0.659,56.213,-9.277,75.745
0.398,-0.327,-0.493,18.738,1.526,58.716
0.346,0.144,-0.338,-13.184,25.635,48.401
0.215,0.929,-0.221,-33.386,45.776,56.824
0.236,1.548,-0.090,-36.194,54.443,77.332
0.375,1.778,-0.114,-17.944,50.354,93.567
0.525,1.445,-0.377,9.949,35.583,96.741
0.504,0.696,-0.654,25.513,17.151,84.167
0.414,0.044,-0.776,13.916,3.662,62.500
0.426,-0.027,-0.639,-16.479,-1.404,40.039
0.485,0.399,-0.329,-40.161,-0.732,31.494
0.499,0.914,-0.128,-52.246,1.343,40.527
0.481,1.354,-0.121,-49.988,8.728,53.467
0.547,1.618,-0.223,-30.945,17.456,60.974
0.668,1.557,-0.312,-7.996,19.897,61.951
0.695,1.221,-0.362,4.456,16.418,52.612
0.552,0.898,-0.368,5.371,7.324,38.513
0.365,0.750,-0.464,6.165,-4.456,28.015
0.172,0.688,-0.522,10.803,-8.362,15.930
0.065,0.649,-0.542,9.949,-6.348,1.343
0.083,0.670,-0.537,-4.333,-8.606,-4.150
0.304,0.789,-0.392,-18.921,-10.193,-3.601
0.500,0.917,-0.286,-18.860,-10.620,-2.686
0.592,0.996,-0.173,-12.939,-11.353,-2.075
0.568,1.003,-0.190,-11.292,-14.404,-0.061
0.474,0.964,-0.270,-10.437,-16.724,2.075
0.383,0.887,-0.387,-7.324,-15.930,3.052
0.314,0.788,-0.477,-3.906,-11.780,3.357
0.311,0.742,-0.487,-3.296,-6.714,4.150
0.370,0.788,-0.435,-5.737,-3.418,5.920
0.449,0.866,-0.383,-6.470,-4.272,7.263
0.532,0.970,-0.325,-2.869,-6.592,7.141
0.573,1.068,-0.280,1.770,-7.690,4.517
0.569,1.141,-0.248,2.869,-7.202,-0.488
0.559,1.171,-0.224,5.615,-7.202,-6.226
0.530,1.152,-0.228,14.404,-11.658,-11.230
0.511,1.090,-0.237,28.198,-18.677,-14.954
0.485,0.948,-0.235,39.246,-24.414,-18.005
0.470,0.726,-0.219,40.039,-26.306,-20.203
0.457,0.565,-0.210,31.799,-23.560,-21.667
0.470,0.456,-0.169,23.743,-19.714,-19.531

