aX,aY,aZ,gX,gY,gZ
4.000,-0.539,1.474,-64.758,164.673,-223.572
4.000,-1.478,2.532,-76.843,134.094,-239.868
4.000,-1.942,1.747,-80.750,-4.333,-283.386
3.330,-2.623,0.633,-70.129,-89.844,-294.922
2.421,-2.735,0.437,-61.340,-66.162,-305.969
1.632,-2.166,0.067,-33.569,-58.105,-331.970
0.274,-2.161,0.288,16.113,-62.927,-314.392
-1.075,-2.242,0.534,61.523,-79.346,-288.574
-1.824,-2.708,1.015,94.666,-71.289,-270.935
-2.103,-3.013,1.213,78.308,-57.373,-277.039
-1.810,-2.963,0.858,6.958,-64.514,-304.016
-1.595,-2.214,0.174,-73.425,-81.848,-327.515
-1.168,-1.551,-0.108,-128.113,-78.186,-315.918
-0.364,-1.045,-0.020,-141.174,-53.223,-286.011
0.539,-0.719,0.348,-108.032,-28.564,-257.019
1.089,-0.249,0.543,-50.842,-19.775,-231.506
1.452,0.216,0.751,-14.893,-15.015,-192.810
1.420,0.350,1.018,-11.292,-19.409,-141.174
0.658,-0.151,0.901,-16.235,-55.786,-92.651
-0.144,-0.875,0.536,-12.756,-89.417,-61.462
-0.615,-1.374,0.244,-6.226,-87.952,-55.115
-0.795,-1.759,0.151,7.080,-67.993,-60.730
-0.881,-1.970,0.224,27.344,-44.983,-64.697
-0.908,-1.867,0.303,52.063,-29.236,-67.261
-0.961,-1.541,0.301,85.876,-25.574,-69.214
-1.131,-1.346,0.311,122.559,-34.912,-68.420
-1.366,-1.303,0.360,140.503,-53.955,-62.988
-1.525,-1.330,0.328,132.568,-73.059,-62.256
-1.524,-1.354,0.179,106.506,-86.304,-72.937
-1.372,-1.327,-0.012,79.102,-87.585,-91.003
-1.139,-1.220,-0.161,61.035,-69.580,-108.704
-0.908,-0.982,-0.247,54.626,-34.485,-119.385
-0.614,-0.771,-0.254,61.096,5.859,-117.920
-0.375,-0.595,-0.239,72.937,37.659,-109.009
-0.192,-0.550,-0.139,79.285,53.101,-94.116
-0.116,-0.546,0.045,79.529,48.340,-82.275
-0.128,-0.582,0.237,70.557,31.982,-73.425
-0.159,-0.674,0.346,57.922,16.296,-60.181
-0.230,-0.724,0.415,42.969,7.935,-44.067
-0.349,-0.732,0.413,28.809,6.287,-30.273
-0.426,-0.738,0.375,20.020,9.338,-20.996
-0.416,-0.727,0.316,15.320,12.634,-17.700
-0.386,-0.709,0.286,13.611,10.803,-17.151
-0.338,-0.751,0.213,17.212,6.104,-13.184
-0.289,-0.772,0.176,23.682,2.380,-7.996
-0.283,-0.708,0.219,28.442,-3.906,-4.395
-0.203,-0.865,0.204,34.973,-9.766,3.357
-0.201,-0.839,0.280,35.461,-14.404,6.592
-0.236,-0.826,0.235,41.748,-16.235,14.526
-0.211,-0.947,0.223,44.556,-11.963,25.513
-0.256,-0.953,0.071,38.635,-17.944,32.471
-0.323,-0.955,-0.035,30.396,-20.996,41.931
-0.322,-1.045,-0.094,28.198,-14.893,47.424
-0.311,-0.999,-0.029,30.151,-2.808,43.823
-0.281,-0.934,0.040,33.997,9.827,38.025
-0.237,-0.880,0.079,38.635,18.372,31.738
-0.200,-0.824,0.026,42.786,19.836,26.184
-0.120,-0.889,0.022,46.814,19.531,24.963
