aX,aY,aZ,gX,gY,gZ
-0.223,0.272,1.673,-28.442,2.258,-15.564
-0.205,0.210,1.758,-48.462,8.118,-15.137
-0.184,0.249,1.853,-74.524,15.686,-14.160
-0.183,0.274,1.909,-101.379,26.550,-15.015
-0.165,0.279,1.945,-125.488,39.551,-18.066
-0.115,0.285,1.955,-147.217,50.476,-19.043
-0.046,0.289,1.922,-167.053,58.350,-18.799
0.016,0.293,1.867,-187.012,62.012,-16.357
0.055,0.300,1.782,-206.177,59.021,-8.545
0.081,0.280,1.678,-221.558,50.659,2.197
0.061,0.261,1.588,-232.910,40.161,12.207
0.057,0.262,1.526,-241.760,28.076,19.958
0.061,0.270,1.453,-248.535,15.686,24.719
0.046,0.277,1.375,-254.517,5.127,28.809
0.000,0.279,1.298,-259.216,-1.221,33.142
-0.040,0.280,1.217,-261.902,0.488,34.546
-0.082,0.269,1.146,-265.686,10.315,32.776
-0.086,0.271,1.052,-271.057,22.949,29.602
-0.063,0.310,0.964,-278.748,33.081,26.672
-0.046,0.366,0.865,-284.851,34.729,25.208
-0.045,0.422,0.765,-285.156,26.001,24.292
-0.050,0.471,0.672,-276.794,13.184,23.254
-0.064,0.494,0.589,-265.442,1.953,22.522
-0.120,0.484,0.547,-254.944,-5.737,22.400
-0.122,0.458,0.548,-243.347,-7.263,19.714
-0.103,0.418,0.531,-239.746,-4.395,16.541
-0.113,0.394,0.484,-246.399,-2.136,16.968
-0.065,0.392,0.395,-253.113,0.488,18.127
-0.029,0.412,0.283,-260.315,1.709,19.104
-0.081,0.494,0.194,-265.381,-3.906,21.240
-0.077,0.604,0.143,-255.066,-9.094,17.151
-0.064,0.625,0.149,-236.267,-10.315,10.803
-0.060,0.610,0.137,-223.694,-9.277,7.446
-0.020,0.567,0.130,-217.834,-3.662,4.333
-0.013,0.519,0.110,-219.238,3.845,3.052
0.038,0.473,0.064,-224.243,8.911,4.028
0.045,0.435,0.005,-231.140,10.559,6.958
0.060,0.396,-0.079,-237.366,9.216,11.841
0.085,0.351,-0.148,-242.493,5.676,18.127
0.080,0.318,-0.230,-246.887,-2.869,27.100
