aX,aY,aZ,gX,gY,gZ
1.217,-0.614,0.425,84.229,13.123,38.391
1.268,-0.608,0.513,75.012,16.174,39.307
1.283,-0.586,0.57,65.552,15.686,40.71
1.256,-0.541,0.593,56.274,12.573,41.138
1.2,-0.475,0.588,47.546,7.446,39.307
1.136,-0.383,0.565,41.87,0.427,35.278
1.073,-0.272,0.521,39.49,-7.812,30.09
1.025,-0.165,0.455,39.856,-16.602,24.963
0.991,-0.074,0.375,42.48,-25.513,19.775
0.965,0.003,0.297,47.241,-32.471,14.343
0.948,0.078,0.232,52.917,-37.964,9.033
0.937,0.152,0.182,59.143,-42.542,5.066
0.926,0.221,0.144,65.43,-46.875,2.502
0.915,0.272,0.107,70.984,-50.232,2.014
0.9,0.302,0.071,75.684,-52.429,3.296
0.888,0.313,0.042,78.857,-51.819,6.592
0.88,0.307,0.025,80.444,-47.729,10.559
0.881,0.288,0.021,82.153,-40.71,15.259
0.889,0.264,0.028,84.839,-32.166,20.081
0.91,0.237,0.042,89.783,-23.804,24.414
0.934,0.209,0.051,97.961,-16.907,27.527
0.957,0.18,0.053,107.178,-12.756,29.48
0.973,0.155,0.05,116.333,-11.169,30.396
0.982,0.125,0.046,125.244,-12.085,30.823
0.987,0.084,0.038,132.629,-13.794,31.738
0.992,0.034,0.035,137.878,-15.625,32.959
1.001,-0.027,0.05,141.663,-16.785,33.691
1.006,-0.075,0.079,144.409,-17.7,34.302
1.006,-0.124,0.094,146.912,-18.738,34.79
1.003,-0.174,0.102,148.56,-18.433,35.095
0.988,-0.202,0.101,148.132,-17.212,33.875
0.966,-0.21,0.095,145.935,-14.038,31.86
0.951,-0.198,0.087,142.395,-10.254,29.602
0.942,-0.167,0.089,137.817,-6.836,27.344
0.928,-0.132,0.097,133.484,-5.188,26.062
0.908,-0.107,0.095,130.31,-6.287,25.635
0.883,-0.093,0.081,128.235,-8.545,25.696
0.855,-0.094,0.054,126.709,-11.108,25.879
0.832,-0.096,0.026,125.793,-12.268,24.963
0.818,-0.092,-0.001,125.916,-11.414,23.682
0.823,-0.07,-0.021,126.892,-9.155,23.132
0.846,-0.046,-0.038,129.089,-7.08,23.376
0.884,-0.032,-0.051,130.981,-5.432,24.17
0.925,-0.028,-0.059,132.019,-5.31,25.085
0.952,-0.034,-0.066,132.263,-6.409,26.245
0.96,-0.052,-0.073,132.08,-7.874,27.832
0.951,-0.08,-0.077,130.249,-8.606,30.212
0.926,-0.119,-0.081,127.258,-7.874,33.142
