aX,aY,aZ,gX,gY,gZ
0.185,0.581,1.563,-3.113,-13.000,3.113
0.162,0.789,1.603,-4.822,-19.043,0.427
0.117,1.020,1.608,-9.399,-21.362,-1.221
0.103,1.275,1.561,-14.771,-18.799,-2.747
0.106,1.495,1.501,-17.822,-13.306,-5.859
0.112,1.721,1.432,-19.165,-10.986,-9.827
0.080,1.892,1.336,-19.348,-14.343,-11.780
0.006,1.944,1.237,-19.104,-20.996,-12.512
-0.058,1.946,1.135,-17.456,-28.015,-17.151
-0.116,1.894,1.042,-10.742,-35.522,-28.992
-0.143,1.835,0.970,0.366,-44.678,-46.143
-0.136,1.767,0.940,14.160,-56.519,-64.392
-0.064,1.657,0.948,27.283,-72.388,-76.660
-0.075,1.500,0.902,35.034,-91.980,-81.848
-0.153,1.264,0.824,38.025,-102.722,-84.534
-0.185,1.021,0.773,38.635,-96.497,-85.693
-0.208,0.817,0.710,33.691,-80.017,-80.017
-0.237,0.575,0.603,16.602,-60.730,-64.026
-0.277,0.320,0.454,-9.827,-41.016,-39.673
-0.351,0.049,0.252,-35.645,-25.085,-14.099
-0.414,-0.262,0.016,-55.115,-11.536,6.714
-0.496,-0.699,-0.170,-62.805,2.319,20.325
-0.520,-1.175,-0.316,-58.228,20.691,27.344
-0.496,-1.646,-0.434,-34.546,41.077,33.569
-0.533,-2.190,-0.382,0.793,60.425,43.274
-0.705,-2.652,-0.226,51.086,74.219,39.917
-0.667,-2.819,0.150,123.352,72.754,15.869
-0.536,-2.698,0.580,189.697,36.316,-18.982
-0.332,-2.517,0.953,222.778,-30.945,-58.472
-0.201,-2.236,1.047,219.727,-101.685,-96.924
0.033,-2.048,1.062,200.378,-143.433,-115.967
0.104,-1.786,0.942,173.157,-148.743,-115.723
0.242,-1.544,0.912,141.846,-107.544,-101.318
0.351,-1.416,0.895,118.469,-46.265,-81.665
0.330,-1.330,0.855,93.811,2.502,-62.134
0.334,-1.227,0.873,70.557,36.560,-48.584
0.302,-1.126,0.860,57.251,53.772,-44.617
0.357,-1.067,0.887,47.729,52.124,-42.419
0.378,-0.997,0.913,39.307,35.828,-41.687
0.371,-0.922,0.932,30.945,12.817,-39.612
0.357,-0.838,0.970,23.987,-6.165,-36.926
0.305,-0.827,1.007,19.958,-18.066,-32.715
0.261,-0.799,1.032,15.808,-23.682,-26.550
0.218,-0.750,1.080,8.362,-20.325,-20.691
0.175,-0.717,1.014,-1.770,-11.047,-14.587
0.120,-0.688,0.967,-12.268,1.160,-7.385
0.055,-0.617,0.922,-21.912,17.639,-1.526
-0.012,-0.568,0.839,-31.860,27.710,7.080
-0.036,-0.542,0.798,-38.757,35.339,14.771
-0.084,-0.523,0.792,-36.438,39.917,17.517
-0.110,-0.507,0.808,-30.029,38.330,17.517
-0.130,-0.464,0.813,-24.658,28.931,16.174
-0.151,-0.419,0.795,-22.644,16.113,14.771
-0.138,-0.379,0.778,-23.132,6.042,13.733
-0.119,-0.333,0.771,-22.156,0.305,11.475
-0.106,-0.329,0.783,-19.897,-2.075,9.277
-0.108,-0.353,0.803,-18.311,-3.113,7.385
-0.110,-0.384,0.826,-17.273,-4.761,5.981
-0.118,-0.388,0.848,-15.137,-5.432,4.761
-0.141,-0.380,0.873,-11.597,-4.944,4.700
-0.150,-0.381,0.915,-7.019,-2.869,4.211
-0.158,-0.385,0.967,-2.930,-1.587,2.991
-0.139,-0.360,1.002,-0.977,-4.333,1.282
-0.112,-0.328,1.015,-3.479,-11.780,0.427
-0.098,-0.311,1.001,-10.071,-20.630,-0.305
-0.101,-0.311,0.976,-16.113,-26.001,-0.732
-0.102,-0.303,0.958,-18.494,-26.123,-1.343
-0.103,-0.301,0.944,-17.090,-22.949,-1.770
-0.109,-0.306,0.946,-14.526,-18.433,-2.502
-0.113,-0.317,0.947,-11.353,-14.038,-3.784
-0.111,-0.328,0.950,-7.874,-10.498,-5.432
-0.109,-0.333,0.948,-4.883,-7.324,-7.019
-0.107,-0.343,0.944,-2.686,-3.662,-8.057
-0.091,-0.356,0.945,-0.610,0.732,-8.728
-0.071,-0.364,0.955,1.648,5.127,-9.521
-0.049,-0.354,0.971,3.113,7.202,-8.301
-0.021,-0.340,0.979,2.625,5.127,-5.432
-0.006,-0.336,0.979,0.366,-1.038,-3.601
-0.002,-0.332,0.975,-3.174,-8.484,-3.235
-0.009,-0.334,0.970,-5.920,-15.381,-2.930
-0.030,-0.339,0.962,-7.507,-19.592,-1.892
-0.053,-0.322,0.945,-8.301,-20.203,-0.916
-0.077,-0.309,0.940,-7.507,-16.418,-0.549
-0.103,-0.312,0.946,-5.310,-11.230,-0.793
-0.109,-0.311,0.946,-3.418,-6.836,-1.465
-0.113,-0.314,0.951,-1.770,-4.456,-2.258
-0.119,-0.314,0.955,-0.549,-4.639,-2.686
-0.112,-0.310,0.961,0.183,-6.042,-2.991
-0.121,-0.306,0.962,-0.183,-7.629,-2.563
-0.120,-0.310,0.968,-2.136,-8.972,-1.038
-0.121,-0.303,0.971,-4.700,-9.521,1.587
-0.133,-0.296,0.962,-6.897,-10.437,4.333
-0.148,-0.291,0.946,-8.057,-10.742,5.066
-0.160,-0.291,0.935,-7.385,-9.399,3.601
-0.172,-0.293,0.930,-5.249,-7.202,1.709
-0.175,-0.288,0.923,-2.686,-4.150,0.061
-0.159,-0.281,0.919,-0.488,-0.244,-1.343
